buurtnaam,hvi,hi_norm,svi_pca,cooling_access
Olympisch Stadion e0o0,0.8808581734412005,0.9569892473118279,0.7983054587948503,0.10629854500735363
Tuindorp Nieuwendam West,0.8517370514727297,0.8064516129032258,0.8847804129765121,0.12377879439582748
Haveneiland Oost,0.8470324520980204,0.910394265232975,0.763837021025683,0.11330031202721402
Overhoeks,0.8432413350635745,0.8673835125448028,0.7768529462104086,0.07226624219255115
Blauwe Zand,0.8343847074332624,0.8530465949820788,0.786683324690032,0.10753630217791002
Spuistraat Zuid,0.832691431492056,0.8817204301075269,0.7486545993697248,0.0972929014942233
Middelveldsche Akerpolder,0.8301132977145479,0.8817204301075269,0.7535312345837761,0.11993684080986675
Balboaplein e0o0,0.8267698723083365,0.9426523297491038,0.6815013270640512,0.11445795208462776
Borgerbuurt,0.8267534239735235,0.9283154121863799,0.6898175252741033,0.10249875505334922
Java-eiland,0.8259991610388409,0.7347670250896057,0.8427684374433647,0.025075119871736672
Houthavens West,0.8256560345267977,0.7777777777777778,0.8199365576463263,0.06714849821421974
Frederik Hendrikbuurt Zuidwest,0.8216682857261147,0.8064516129032258,0.7938600534412874,0.09228190405845287
Sporenburg,0.8185478814649302,0.7491039426523297,0.848037909185097,0.10154429635020328
IJplein e0o0,0.8168299247324124,0.9426523297491038,0.6338608379260398,0.0688767116882251
Buikslotermeerplein,0.8141090902391258,0.8673835125448028,0.7196848800486189,0.10359133399121438
Westelijke eilanden,0.8126888059649084,0.7777777777777778,0.8048795002809374,0.10187052629288758
Oostelijke Handelskade,0.8120975182293828,0.8064516129032258,0.781823631714126,0.11606289808778976
Markthallen,0.8112602111413809,0.8207885304659498,,0.07127379581392108
Dapperbuurt Zuid,0.8081336843113172,0.8960573476702509,0.6769514420014943,0.10534915778690515
Nieuwmarkt,0.8076564705417036,0.7634408602150538,0.8056423051412599,0.09988397800410927
